filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),4,36.36%,11/16 (68.75%),4.45,0.69,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),6,54.55%,11/16 (68.75%),4.45,0.69,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,8,The course was difficult.,Strongly disagree,(1),0,0.00%,11/16 (68.75%),4.18,0.60,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,8,The course was difficult.,Disagree,(2),0,0.00%,11/16 (68.75%),4.18,0.60,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,8,The course was difficult.,Neither agree nor disagree,(3),1,9.09%,11/16 (68.75%),4.18,0.60,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,8,The course was difficult.,Agree,(4),7,63.64%,11/16 (68.75%),4.18,0.60,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,8,The course was difficult.,Strongly agree,(5),3,27.27%,11/16 (68.75%),4.18,0.60,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),0,0.00%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),0,0.00%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),0,0.00%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),2,18.18%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),4,36.36%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),2,18.18%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),2,18.18%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),1,9.09%,11/16 (68.75%),6.91,1.70,6.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,14/17 (82.35%),4.57,0.65,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,14/17 (82.35%),4.57,0.65,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,7.14%,14/17 (82.35%),4.57,0.65,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,28.57%,14/17 (82.35%),4.57,0.65,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),9,64.29%,14/17 (82.35%),4.57,0.65,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,14/17 (82.35%),4.64,0.63,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,14/17 (82.35%),4.64,0.63,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,7.14%,14/17 (82.35%),4.64,0.63,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),3,21.43%,14/17 (82.35%),4.64,0.63,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),10,71.43%,14/17 (82.35%),4.64,0.63,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,14/17 (82.35%),4.86,0.36,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,14/17 (82.35%),4.86,0.36,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,14/17 (82.35%),4.86,0.36,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),2,14.29%,14/17 (82.35%),4.86,0.36,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),12,85.71%,14/17 (82.35%),4.86,0.36,5.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,8,The course was difficult.,Strongly disagree,(1),0,0.00%,14/17 (82.35%),3.64,1.22,3.50
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,8,The course was difficult.,Disagree,(2),3,21.43%,14/17 (82.35%),3.64,1.22,3.50
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,8,The course was difficult.,Neither agree nor disagree,(3),4,28.57%,14/17 (82.35%),3.64,1.22,3.50
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,8,The course was difficult.,Agree,(4),2,14.29%,14/17 (82.35%),3.64,1.22,3.50
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,8,The course was difficult.,Strongly agree,(5),5,35.71%,14/17 (82.35%),3.64,1.22,3.50
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),1,7.14%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),2,14.29%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),5,35.71%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),2,14.29%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),1,7.14%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),1,7.14%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),1,7.14%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-002_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-002 : ELEMENTARY KOREAN.KOREAN-101-002.,Eunyoung Kim,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),1,7.14%,14/17 (82.35%),4.93,2.16,4.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,12/17 (70.59%),4.75,0.45,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,12/17 (70.59%),4.75,0.45,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,12/17 (70.59%),4.75,0.45,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,25.00%,12/17 (70.59%),4.75,0.45,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),9,75.00%,12/17 (70.59%),4.75,0.45,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,13/17 (76.47%),4.69,0.48,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,13/17 (76.47%),4.69,0.48,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,13/17 (76.47%),4.69,0.48,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),4,30.77%,13/17 (76.47%),4.69,0.48,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),9,69.23%,13/17 (76.47%),4.69,0.48,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,13/17 (76.47%),4.85,0.38,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,13/17 (76.47%),4.85,0.38,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,13/17 (76.47%),4.85,0.38,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),2,15.38%,13/17 (76.47%),4.85,0.38,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),11,84.62%,13/17 (76.47%),4.85,0.38,5.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,8,The course was difficult.,Strongly disagree,(1),0,0.00%,13/17 (76.47%),3.46,0.97,3.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,8,The course was difficult.,Disagree,(2),2,15.38%,13/17 (76.47%),3.46,0.97,3.00
KOREAN-101-003_Kim__Eunyoung_Fall_2023.html,Fall 2023,KOREAN-101-003 : ELEMENTARY KOREAN.KOREAN-101-003.,Eunyoung Kim,8,The course was difficult.,Neither agree nor disagree,(3),5,38.46%,13/17 (76.47%),3.46,0.97,3.00
